SKU,Item Class Cd,Item Class Sect Cd,Vendor Nbr,Lead Days,LEAD 1,LEAD 2,Active Vendor,Item Desc,Active Cd,SKU_Supplier,DOP
100834,55,55,308531,13,13,13,A,DOOR BUMPER ZN DP17,Y,100834_308531,3/19/2012
100995,64,25,820715,7,6,9,A,#VARA/PROF.CLEAR FIN.900-GLOSS,Y,100995_820715,3/3/2013
100995,64,25,998946,0,0,0,A,#VARA/PROF.CLEAR FIN.900-GLOSS,Y,100995_998946,12/12/2012
101000,64,25,820715,7,6,9,A,#VARA/PROF. CLEAR FIN.1000-S/G,Y,101000_820715,
101000,64,25,998946,0,0,0,A,#VARA/PROF. CLEAR FIN.1000-S/G,Y,101000_998946,
101005,64,25,820715,7,6,9,A,#VARA/PROF.CLR FIN.1100-SATIN,Y,101005_820715,
101005,64,25,998946,0,0,0,A,#VARA/PROF.CLR FIN.1100-SATIN,Y,101005_998946,
101120,64,24,820715,7,6,9,A,#DIA/WF OUT OIL #92 946ML EXT,Y,101120_820715,
101120,64,24,998946,0,0,0,A,#DIA/WF OUT OIL #92 946ML EXT,,,
101125,64,24,820715,7,6,9,A,#DIA/WF OUT OIL #93 946ML EXT,Y,101125_820715,3/19/2012
101125,64,24,998946,0,0,0,A,#DIA/WF OUT OIL #93 946ML EXT,Y,101125_998946,3/3/2013
1011631,57,70,831040,1,0,0,A,8 1/4 SHELVING EXCHANGE,Y,1011631_831040,12/12/2012
1011632,57,70,831040,1,0,0,A,8 1/4X40 SHELVING,Y,1011632_831040,3/19/2012
101200,64,27,820715,7,6,9,A,FINISH/NAT OIL #66-946ML,Y,101200_820715,3/3/2013
101205,64,27,820715,7,6,9,A,FINISH/NAT OIL #66-3.78L,Y,101205_820715,12/12/2012
1013922,57,70,831040,1,0,0,A,"BLADE/12""X100T CABINETRY IND.",Y,1013922_831040,3/19/2012
101525,18,90,111950,7,2,1,A,"COVE/IS WH 501 8'X1/8""",Y,101525_111950,3/3/2013
101530,18,90,111950,7,2,1,A,"CAP/WH 503 8'X1/8""",Y,101530_111950,12/12/2012
101535,18,90,111950,7,2,1,A,"DIVIDER/WH 505 8'X1/8""",Y,101535_111950,3/19/2012
101540,18,90,111950,7,2,1,A,"CORNER/OS WH 507 8'X1/8""",Y,101540_111950,3/19/2012
101555,18,90,111950,7,2,1,A,"SHELF EDGE/WHITE 8' X 1/2""",Y,101555_111950,3/3/2013
101565,18,90,111950,7,2,1,A,"SHELF EDGE/WHITE 8'X 5/8""",Y,101565_111950,12/12/2012
101575,18,90,111950,7,2,1,A,"SHELF EDGE/WHITE 8'X 3/4""",Y,101575_111950,3/19/2012
1016002,57,70,831040,1,0,0,A,"BLADE/3 3/8""X20T ULTRA THIN",Y,1016002_831040,3/3/2013
1016022,57,70,210805,6,0,0,A,"BLADE/4 3/8"" X 20T ULTRA THIN",Y,1016022_210805,12/12/2012
1016052,57,72,210809,6,12,8,A,"5 3/8""X234TH ULTRA THIN BLADE",Y,1016052_210809,3/19/2012
